"Document Title",Authors,"Author Affiliations","Publication Title",Date Added To Xplore,"Publication Year","Volume","Issue","Start Page","End Page","Abstract","ISSN",ISBNs,"DOI",Funding Information,PDF Link,"Author Keywords","IEEE Terms","Mesh_Terms",Article Citation Count,Patent Citation Count,"Reference Count","License",Online Date,Issue Date,"Meeting Date","Publisher",Document Identifier
"On the Impact of Multi-language Development in Machine Learning Frameworks","M. Grichi; E. E. Eghan; B. Adams","GIGL department, Polytechnique Montreal, Quebec, Canada; GIGL department, Polytechnique Montreal, Quebec, Canada; GIGL department, Polytechnique Montreal, Quebec, Canada","2020 IEEE International Conference on Software Maintenance and Evolution (ICSME)","2 Nov 2020","2020","","","546","556","The role of machine learning frameworks in software applications has exploded in recent years. Similar to non-machine learning frameworks, those frameworks need to evolve to incorporate new features, optimizations, etc., yet their evolution is impacted by the interdisciplinary development teams needed to develop them: scientists and developers. One concrete way in which this shows is through the use of multiple programming languages in their code base, enabling the scientists to write optimized low-level code while developers can integrate the latter into a robust framework. Since multi-language code bases have been shown to impact the development process, this paper empirically compares ten large open-source multi-language machine learning frameworks and ten large open-source multi-language traditional systems in terms of the volume of pull requests, their acceptance ratio i.e., the percentage of accepted pull requests among all the received pull requests, review process duration i.e., period taken to accept or reject a pull request, and bug-proneness. We find that multi-language pull request contributions present a challenge for both machine learning and traditional systems. Our main findings show that in both machine learning and traditional systems, multi-language pull requests are likely to be less accepted than mono-language pull requests; it also takes longer for both multi- and mono-language pull requests to be rejected than accepted. Machine learning frameworks take longer to accept/reject a multi-language pull request than traditional systems. Finally, we find that mono-language pull requests in machine learning frameworks are more bug-prone than traditional systems.","2576-3148","978-1-7281-5619-4","10.1109/ICSME46990.2020.00058","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9240642","Machine learning;Framework;Open Source;Software engineering;Multi-language;Traditional systems","Software maintenance;Computer languages;Conferences;Machine learning;Open source software;Optimization","","6","","36","IEEE","2 Nov 2020","","","IEEE","IEEE Conferences"
"Sine-Cosine Algorithm for Software Fault Prediction","T. Sharma; O. P. Sangwan","Deptt. of Computer Science and Engineering, G J University of Science and Technology, Hisar, India; Deptt. of Computer Science and Engineering, G J University of Science and Technology, Hisar, India","2021 IEEE International Conference on Software Maintenance and Evolution (ICSME)","24 Nov 2021","2021","","","701","706","For developing an efficient and quality Software Fault Prediction (SFP) model, redundant and irrelevant features need to be removed. This task can be achieved, to a significant extent, with Feature Selection (FS) methods. Many empirical studies have been proposed on FS methods (Filter and Wrapper-based) and have shown effective results in reducing the problem of high dimensionality in metrics-based SFP models. This study evaluates the performance of novel wrapper-based Sine Cosine Algorithm (SCA) on five datasets of the AEEEM repository and compares the results with two metaheuristic techniques Genetic Algorithm (GA) and Cuckoo Search algorithm (CSA) on four different Machine Learning (ML) classifiers - Random Forest (RF), Support Vector Machine (SVM), Naïve Bayes (NB), and K-Nearest Neighbor (KNN). We found that the application of FS methods (SCA, GA & CSA) has improved the classifier performance. SCA has proved to be more efficient than GA and CSA in terms of lesser convergence time with the smallest subset of selected features and equivalent performance.","2576-3148","978-1-6654-2882-8","10.1109/ICSME52107.2021.00084","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9609148","software fault prediction;feature selection;sine cosine algorithm;metaheuristic techniques","Support vector machines;Software maintenance;Machine learning algorithms;Software algorithms;Stochastic processes;Predictive models;Prediction algorithms","","","","32","IEEE","24 Nov 2021","","","IEEE","IEEE Conferences"
"A Practical Approach to the Automatic Classification of Security-Relevant Commits","A. Sabetta; M. Bezzi",SAP Security Research; SAP Security Research,"2018 IEEE International Conference on Software Maintenance and Evolution (ICSME)","11 Nov 2018","2018","","","579","582","The lack of reliable sources of detailed information on the vulnerabilities of open-source software (OSS) components is a major obstacle to maintaining a secure software supply chain and an effective vulnerability management process. Standard sources of advisories and vulnerability data, such as the National Vulnerability Database (NVD), are known to suffer from poor coverage and inconsistent quality. To reduce our dependency on these sources, we propose an approach that uses machine-learning to analyze source code repositories and to automatically identify commits that are security-relevant (i.e., that are likely to fix a vulnerability). We treat the source code changes introduced by commits as documents written in natural language, classifying them using standard document classification methods. Combining independent classifiers that use information from different facets of commits, our method can yield high precision (80%) while ensuring acceptable recall (43%). In particular, the use of information extracted from the source code changes yields a substantial improvement over the best known approach in state of the art, while requiring a significantly smaller amount of training data and employing a simpler architecture.","2576-3148","978-1-5386-7870-1","10.1109/ICSME.2018.00058","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8530068","machine learning;open source software;vulnerabilities;NVD;CVE;commit classification;source code repositories;code change classification","Security;Standards;Open source software;Databases;Predictive models;Machine learning","","36","","8","IEEE","11 Nov 2018","","","IEEE","IEEE Conferences"
"Sorrel: an IDE Plugin for Managing Licenses and Detecting License Incompatibilities","D. Pogrebnoy; I. Kuznetsov; Y. Golubev; V. Tankov; T. Bryksin",JetBrains; Saint Petersburg Polytechnic University; JetBrains Research; Higher School of Economics; JetBrains Research,"2021 IEEE International Conference on Software Maintenance and Evolution (ICSME)","24 Nov 2021","2021","","","574","578","Software development is a complex process that includes many different tasks besides just writing code. One of the aspects of software engineering is selecting and managing licenses for the given project. In this paper, we present SORREL-a plugin for managing licenses and detecting potential incompatibilities for IntelliJ IDEA, a popular Java IDE. The plugin scans the project in search of information about the project license and the licenses of its libraries. If the project does not yet have a license, the plugin provides the developer with recommendations for choosing the most suitable open license, and if there is a license, it informs the programmer about potential licensing violations. The tool makes it easier for developers to choose a proper license for a project and avoid most of the licensing errors-all inside the familiar IDE editor. The plugin and its source code are available online on GitHub: https://github.com/JetBrains-Research/sorrel. A demonstration video can be found at https://youtu.be/doUeAwPjcPE.","2576-3148","978-1-6654-2882-8","10.1109/ICSME52107.2021.00059","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9609150","license detection;license management;license incompatibilities","Java;Software maintenance;Codes;Machine learning;Licenses;Tools;Writing","","1","","24","IEEE","24 Nov 2021","","","IEEE","IEEE Conferences"
"flexfringe: A Passive Automaton Learning Package","S. Verwer; C. A. Hammerschmidt",Delft University of Technology Cyber Security group; Delft University of Technology Cyber Security group,"2017 IEEE International Conference on Software Maintenance and Evolution (ICSME)","7 Nov 2017","2017","","","638","642","Finite state models, such as Mealy machines or state charts, are often used to express and specify protocol and software behavior. Consequently, these models are often used in verification, testing, and for assistance in the development and maintenance process. Reverse engineering these models from execution traces and log files, in turn, can accelerate and improve the software development and inform domain experts about the processes actually executed in a system. We present name, an open-source software tool to learn variants of finite state automata from traces using a state-of-the-art evidence-driven state-merging algorithm at its core. We embrace the need for customized models and tailored learning heuristics in different application domains by providing a flexible, extensible interface.","","978-1-5386-0992-7","10.1109/ICSME.2017.58","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8094471","machine learning tool;automata learning;software package;finite state machines","Learning automata;Tools;Software algorithms;Software;Heuristic algorithms;Machine learning algorithms;Algorithm design and analysis","","14","","37","IEEE","7 Nov 2017","","","IEEE","IEEE Conferences"
"Elevating Jupyter Notebook Maintenance Tooling by Identifying and Extracting Notebook Structures","Y. Jiang; C. Kästner; S. Zhou",Carnegie Mellon University; Carnegie Mellon University; University of Toronto,"2022 IEEE International Conference on Software Maintenance and Evolution (ICSME)","19 Dec 2022","2022","","","399","403","Data analysis is an exploratory, interactive, and often collaborative process. Computational notebooks have become a popular tool to support this process, among others because of their ability to interleave code, narrative text, and results. However, notebooks in practice are often criticized as hard to maintain and being of low code quality, including problems such as unused or duplicated code and out-of-order code execution. Data scientists can benefit from better tool support when maintaining and evolving notebooks. We argue that central to such tool support is identifying the structure of notebooks. We present a lightweight and accurate approach to extract notebook structure and outline several ways such structure can be used to improve maintenance tooling for notebooks, including navigation and finding alternatives.","2576-3148","978-1-6654-7956-1","10.1109/ICSME55016.2022.00047","Natural Sciences and Engineering Research Council of Canada; ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9978200","Jupyter notebook;maintenance tooling;notebook structure;static analysis;classification;navigation","Out of order;Software maintenance;Codes;Runtime;Navigation;Prototypes;Documentation","","","","20","IEEE","19 Dec 2022","","","IEEE","IEEE Conferences"
"Automatic Identification of Rollback Edit with Reasons in Stack Overflow Q&A Site","S. Mondal; G. Uddin; C. K. Roy","University of Saskatchewan, Canada; University of Calgary, Canada; University of Saskatchewan, Canada","2020 IEEE International Conference on Software Maintenance and Evolution (ICSME)","2 Nov 2020","2020","","","856","856","Crowd-sourced developer forums, such as Stack Overflow (SO), rely on edits from users to improve the quality of the shared knowledge. Unfortunately, suggested edits in SO are frequently rejected by rollbacks due to undesired edits or violation of editing guidelines. Such rollbacks could frustrate and demotivate users to provide future suggestions. We thus need to warn a user of a potential rollback so that he can improve the suggested edit and thus increase its likelihood of acceptance. This study proposes to help users with an automated machine learning classification model that can warn them of potential rollbacks to their suggested edits. We present the conceptual design of EditEx, an online tool that can guide SO users during their editing by highlighting the potential causes of rollback. We offer details of an empirical study to assess the accuracy of the classifiers and a user study to evaluate the effectiveness of EditEx.","2576-3148","978-1-7281-5619-4","10.1109/ICSME46990.2020.00111","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9240665","Stack Overflow;Rollback edits;Classification Model;User Study","Software maintenance;Conferences;Machine learning;Tools;Guidelines","","","","5","IEEE","2 Nov 2020","","","IEEE","IEEE Conferences"
"DebtViz: A Tool for Identifying, Measuring, Visualizing, and Monitoring Self-Admitted Technical Debt","Y. Li; M. Soliman; P. Avgeriou; M. Van Ittersum","Bernoulli Institute for Mathematics, Computer Science and Artificial Intelligence, University of Groningen, Groningen, The Netherlands; Bernoulli Institute for Mathematics, Computer Science and Artificial Intelligence, University of Groningen, Groningen, The Netherlands; Bernoulli Institute for Mathematics, Computer Science and Artificial Intelligence, University of Groningen, Groningen, The Netherlands; Bernoulli Institute for Mathematics, Computer Science and Artificial Intelligence, University of Groningen, Groningen, The Netherlands","2023 IEEE International Conference on Software Maintenance and Evolution (ICSME)","11 Dec 2023","2023","","","558","562","Technical debt, specifically Self-Admitted Technical Debt (SATD), remains a significant challenge for software developers and managers due to its potential to adversely affect long-term software maintainability. Although various approaches exist to identify SATD, tools for its comprehensive management are notably lacking. This paper presents DebtViz, an innovative SATD tool designed to automatically detect, classify, visualize and monitor various types of SATD in source code comments and issue tracking systems. DebtViz employs a Convolutional Neural Network-based approach for detection and a deconvolution technique for keyword extraction. The tool is structured into a back-end service for data collection and pre-processing, a SATD classifier for data categorization, and a front-end module for user interaction. DebtViz not only makes the management of SATD more efficient but also provides in-depth insights into the state of SATD within software systems, fostering informed decision-making on managing it. The scalability and deployability of DebtViz also make it a practical tool for both developers and managers in diverse software development environments. The source code of DebtViz is available at https://github.com/yikun-li/visdom-satd-management-system and the demo of DebtViz is at https://youtu.be/QXH6Bj0HQew.","2576-3148","979-8-3503-2783-0","10.1109/ICSME58846.2023.00072","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10336277","self-admitted technical debt;technical debt management;technical debt visualization","Visualization;Software maintenance;Deconvolution;Source coding;Scalability;Decision making;Refining","","","","18","IEEE","11 Dec 2023","","","IEEE","IEEE Conferences"
"Automatic Traceability Maintenance via Machine Learning Classification","C. Mills; J. Escobar-Avila; S. Haiduc","Department of Computer Science, Florida State University, Tallahassee, FL, USA; Department of Computer Science, Florida State University, Tallahassee, FL, USA; Department of Computer Science, Florida State University, Tallahassee, FL, USA","2018 IEEE International Conference on Software Maintenance and Evolution (ICSME)","11 Nov 2018","2018","","","369","380","Previous studies have shown that software traceability, the ability to link together related artifacts from different sources within a project (e.g., source code, use cases, documentation, etc.), improves project outcomes by assisting developers and other stakeholders with common tasks such as impact analysis, concept location, etc. Establishing traceability links in a software system is an important and costly task, but only half the struggle. As the project undergoes maintenance and evolution, new artifacts are added and existing ones are changed, resulting in outdated traceability information. Therefore, specific steps need to be taken to make sure that traceability links are maintained in tandem with the rest of the project. In this paper we address this problem and propose a novel approach called TRAIL for maintaining traceability information in a system. The novelty of TRAIL stands in the fact that it leverages previously captured knowledge about project traceability to train a machine learning classifier which can then be used to derive new traceability links and update existing ones. We evaluated TRAIL on 11 commonly used traceability datasets from six software systems and compared it to seven popular Information Retrieval (IR) techniques including the most common approaches used in previous work. The results indicate that TRAIL outperforms all IR approaches in terms of precision, recall, and F-score.","2576-3148","978-1-5386-7870-1","10.1109/ICSME.2018.00045","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8530044","traceability link recovery;classification;machine learning;information retrieval;traceability maintenance;query quality","Feature extraction;Maintenance engineering;Machine learning;Task analysis;Software systems;Matrix decomposition","","29","","57","IEEE","11 Nov 2018","","","IEEE","IEEE Conferences"
"LDA Analyzer: A Tool for Exploring Topic Models","C. Zou; D. Hou","Department of Electrical and Computer Engineering, Clarkson University, Potsdam, New York; Department of Electrical and Computer Engineering, Clarkson University, Potsdam, New York","2014 IEEE International Conference on Software Maintenance and Evolution","6 Dec 2014","2014","","","593","596","Online technical forums are valuable sources for mining useful software engineering information. LDA (Latent Dirichlet Allocation) is an unsupervised machine learning method which can be used for extracting underlying topics out of such large forums. However, the main output of LDA forum learning are usually huge matrices that contain millions of numbers, which is impossible for researchers to directly scrutinize the numerical distribution and semantically evaluate the relationship between the extracted topics and large collection of unorganized documents. In this paper, we present LDAAnalyzer, an LDA visualization tool that makes the hidden topic-document structures rise to the surface. From the functionality point of view, LDA Analyzer consists of (1) LDA modeling (2) LDA output analysis and (3) new corpus training. With the help of LDAAnalyzer, our semantic topic-modeling evaluation based on large technical forums becomes feasible.","1063-6773","978-1-4799-6146-7","10.1109/ICSME.2014.103","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6976147","LDA;topic modeling;visualization;forum","Data visualization;Semantics;Visualization;Training;Load modeling;Mathematical model;Standards","","15","","13","IEEE","6 Dec 2014","","","IEEE","IEEE Conferences"
