"Document Title",Authors,"Author Affiliations","Publication Title",Date Added To Xplore,"Publication Year","Volume","Issue","Start Page","End Page","Abstract","ISSN",ISBNs,"DOI",Funding Information,PDF Link,"Author Keywords","IEEE Terms","Mesh_Terms",Article Citation Count,Patent Citation Count,"Reference Count","License",Online Date,Issue Date,"Meeting Date","Publisher",Document Identifier
"The Best Defense Is a Good Offense: Adversarial Attacks to Avoid Modulation Detection","M. Z. Hameed; A. György; D. Gündüz","Department of Electrical and Electronic Engineering, Imperial College London, London, U.K.; DeepMind, London, U.K.; Department of Electrical and Electronic Engineering, Imperial College London, London, U.K.","IEEE Transactions on Information Forensics and Security","22 Oct 2020","2021","16","","1074","1087","We consider a communication scenario, in which an intruder tries to determine the modulation scheme of the intercepted signal. Our aim is to minimize the accuracy of the intruder, while guaranteeing that the intended receiver can still recover the underlying message with the highest reliability. This is achieved by perturbing channel input symbols at the encoder, similarly to adversarial attacks against classifiers in machine learning. In image classification, the perturbation is limited to be imperceptible to a human observer, while in our case the perturbation is constrained so that the message can still be reliably decoded by the legitimate receiver, which is oblivious to the perturbation. Simulation results demonstrate the viability of our approach to make wireless communication secure against state-of-the-art intruders (using deep learning or decision trees) with minimal sacrifice in the communication performance. On the other hand, we also demonstrate that using diverse training data and curriculum learning can significantly boost the accuracy of the intruder.","1556-6021","","10.1109/TIFS.2020.3025441","Imperial College London President’s Ph.D. Scholarship; European Research Council (ERC) through the Starting Grant BEACON(grant numbers:677854); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9201397","Secure communication;deep learning;adversarial attacks;modulation classification","Modulation;Receivers;Transmitters;Perturbation methods;Machine learning;Jamming;Bit error rate","","30","","37","IEEE","21 Sep 2020","","","IEEE","IEEE Journals"
"High Intrinsic Dimensionality Facilitates Adversarial Attack: Theoretical Evidence","L. Amsaleg; J. Bailey; A. Barbe; S. M. Erfani; T. Furon; M. E. Houle; M. Radovanović; X. V. Nguyen","Inria, CNRS, IRISA, Campus de Beaulieu, Univ Rennes, Rennes, France; School of Computing and Information Systems, The University of Melbourne, Parkville, VIC, Australia; Laboratoire de Physique, École Normale Supérieure de Lyon, Lyon, France; School of Computing and Information Systems, The University of Melbourne, Parkville, VIC, Australia; Inria, CNRS, IRISA, Campus de Beaulieu, Univ Rennes, Rennes, France; National Institute of Informatics, Tokyo, Japan; Faculty of Sciences, University of Novi Sad, Novi Sad, Serbia; NVIDIA Corporation, Santa Clara, CA, USA","IEEE Transactions on Information Forensics and Security","7 Oct 2020","2021","16","","854","865","Machine learning systems are vulnerable to adversarial attack. By applying to the input object a small, carefully-designed perturbation, a classifier can be tricked into making an incorrect prediction. This phenomenon has drawn wide interest, with many attempts made to explain it. However, a complete understanding is yet to emerge. In this paper we adopt a slightly different perspective, still relevant to classification. We consider retrieval, where the output is a set of objects most similar to a user-supplied query object, corresponding to the set of k-nearest neighbors. We investigate the effect of adversarial perturbation on the ranking of objects with respect to a query. Through theoretical analysis, supported by experiments, we demonstrate that as the intrinsic dimensionality of the data domain rises, the amount of perturbation required to subvert neighborhood rankings diminishes, and the vulnerability to adversarial attack rises. We examine two modes of perturbation of the query: either `closer' to the target point, or `farther' from it. We also consider two perspectives: `query-centric', examining the effect of perturbation on the query's own neighborhood ranking, and `target-centric', considering the ranking of the query point in the target's neighborhood set. All four cases correspond to practical scenarios involving classification and retrieval.","1556-6021","","10.1109/TIFS.2020.3023274","European(grant numbers:CHIST-ERA ID_IOT); Australian Research Council(grant numbers:DP140101969); ANR-AID Chaire SAIDA; JSPS Kakenhi Kiban (B) Research(grant numbers:18H03296); Serbian National Project(grant numbers:OI174023); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9194069","Adversarial attack;intrinsic dimensionality;nearest neighbor","Perturbation methods;Feature extraction;Machine learning;Neural networks;Databases;Content-based retrieval;Learning systems","","15","","51","IEEE","10 Sep 2020","","","IEEE","IEEE Journals"
"Sampling Rate Distribution for Flow Monitoring and DDoS Detection in Datacenter","R. Biswas; S. Kim; J. Wu","Department of Computer and Information Sciences, Temple University, Philadelphia, PA, USA; Department of Computer and Information Sciences, Temple University, Philadelphia, PA, USA; Department of Computer and Information Sciences, Temple University, Philadelphia, PA, USA","IEEE Transactions on Information Forensics and Security","23 Feb 2021","2021","16","","2524","2534","Monitoring all the internal flows in a datacenter is important to protect a victim against internal distributed denial-of-service (DDoS) attacks. Unused virtual machines (VMs) in a datacenter are used as monitors and flows are copied to the monitors from software defined networking (SDN) switches by adding some special rules. In such a system, a VM runs a machine learning method to detect DDoS behavior but it can only process a limited number/amount of flows. When the amount of flows is beyond the capacities of all monitor VMs, the system sub-samples each flow probabilistically. The sampling rate affects the DDoS detection rate of the monitors. Besides, the DDoS detection rates of different types of flows are different for the same sampling rate. A uniform sampling rate might not produce a good overall DDoS detection rate. Assigning different sampling rates to different flows may produce the best result. In this paper, we propose a flow grouping approach based on behavioral similarity among the VMs followed by hierarchical clustering of VMs. The sampling rate is uniform among all the flows in a group. We investigate the relationship between the sampling rate and the DDoS detection rate. Then, we formulate an optimization problem for finding an optimal sampling rate distribution and solve it using mix-integer linear programming. We conduct extensive experiments with Hadoop and Spark and present results that support the feasibility of our model.","1556-6021","","10.1109/TIFS.2021.3054522","NSF(grant numbers:CNS 1824440,CNS 1828363,CNS 1757533,CNS 1618398,CNS 1651947,CNS 1564128); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9335605","Botnet;DDoS defense;DDoS;flooding attack;network security;sampling rate distribution","Monitoring;Computer crime;Denial-of-service attack;Servers;Sparks;Probabilistic logic;Machine learning","","14","","23","IEEE","25 Jan 2021","","","IEEE","IEEE Journals"
"SmarPer: Context-Aware and Automatic Runtime-Permissions for Mobile Devices","K. Olejnik; I. Dacosta; J. S. Machado; K. Huguenin; M. E. Khan; J. -P. Hubaux","Raytheon BBN Technologies, Cambridge, MA, USA; EPFL, School of Computer and Communication Sciences (IC), Lausanne, Switzerland; EPFL, School of Computer and Communication Sciences (IC), Lausanne, Switzerland; Faculty of Business and Economics (HEC), UNIL, Lausanne, Switzerland; Rikagaku Kenkyujo Yokohama Campus, Yokohama, Kanagawa, JP; EPFL, School of Computer and Communication Sciences (IC), Lausanne, Switzerland","2017 IEEE Symposium on Security and Privacy (SP)","26 Jun 2017","2017","","","1058","1076","Permission systems are the main defense that mobile platforms, such as Android and iOS, offer to users to protect their private data from prying apps. However, due to the tension between usability and control, such systems have several limitations that often force users to overshare sensitive data. We address some of these limitations with SmarPer, an advanced permission mechanism for Android. To address the rigidity of current permission systems and their poor matching of users' privacy preferences, SmarPer relies on contextual information and machine learning methods to predict permission decisions at runtime. Note that the goal of SmarPer is to mimic the users' decisions, not to make privacy-preserving decisions per se. Using our SmarPer implementation, we collected 8,521 runtime permission decisions from 41 participants in real conditions. With this unique data set, we show that using an efficient Bayesian linear regression model results in a mean correct classification rate of 80% (±3%). This represents a mean relative reduction of approximately 50% in the number of incorrect decisions when compared with a user-defined static permission policy, i.e., the model used in current permission systems. SmarPer also focuses on the suboptimal trade-off between privacy and utility, instead of only ""allow"" or ""deny"" type of decisions, SmarPer also offers an ""obfuscate"" option where users can still obtain utility by revealing partial information to apps. We implemented obfuscation techniques in SmarPer for different data types and evaluated them during our data collection campaign. Our results show that 73% of the participants found obfuscation useful and it accounted for almost a third of the total number of decisions. In short, we are the first to show, using a large dataset of real in situ permission decisions, that it is possible to learn users' unique decision patterns at runtime using contextual information while supporting data obfuscation, this is an important step towards automating the management of permissions in smartphones.","2375-1207","978-1-5090-5533-3","10.1109/SP.2017.25","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7958625","mobile privacy;machine learning;permission systems;privacy preferences","Runtime;Privacy;Mobile communication;Androids;Humanoid robots;Data models;Smart phones","","57","","58","IEEE","26 Jun 2017","","","IEEE","IEEE Conferences"
"Model Stealing Attacks Against Inductive Graph Neural Networks","Y. Shen; X. He; Y. Han; Y. Zhang",Norton Research Group; CISPA Helmholtz Center for Information Security; INRIA; CISPA Helmholtz Center for Information Security,"2022 IEEE Symposium on Security and Privacy (SP)","27 Jul 2022","2022","","","1175","1192","Many real-world data come in the form of graphs. Graph neural networks (GNNs), a new family of machine learning (ML) models, have been proposed to fully leverage graph data to build powerful applications. In particular, the inductive GNNs, which can generalize to unseen data, become mainstream in this direction. Machine learning models have shown great potential in various tasks and have been deployed in many real-world scenarios. To train a good model, a large amount of data as well as computational resources are needed, leading to valuable intellectual property. Previous research has shown that ML models are prone to model stealing attacks, which aim to steal the functionality of the target models. However, most of them focus on the models trained with images and texts. On the other hand, little attention has been paid to models trained with graph data, i.e., GNNs. In this paper, we fill the gap by proposing the first model stealing attacks against inductive GNNs. We systematically define the threat model and propose six attacks based on the adversary’s background knowledge and the responses of the target models. Our evaluation on six benchmark datasets shows that the proposed model stealing attacks against GNNs achieve promising performance.1","2375-1207","978-1-6654-1316-9","10.1109/SP46214.2022.9833607","Helmholtz Association; Helmholtz Association; ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9833607","","Privacy;Computational modeling;Machine learning;Benchmark testing;Reconstruction algorithms;Data models;Graph neural networks","","13","","98","IEEE","27 Jul 2022","","","IEEE","IEEE Conferences"
"ALScA: A Framework for Using Auxiliary Learning Side-Channel Attacks to Model PUFs","W. Liu; Y. Zhang; Y. Tang; H. Wang; Q. Wei","State Key Laboratory of Mathematical Engineering and Advanced Computing, Zhengzhou, China; Zhengzhou Xinda Institute of Advanced Technology, Zhengzhou, China; State Key Laboratory of Mathematical Engineering and Advanced Computing, Zhengzhou, China; State Key Laboratory of Mathematical Engineering and Advanced Computing, Zhengzhou, China; State Key Laboratory of Mathematical Engineering and Advanced Computing, Zhengzhou, China","IEEE Transactions on Information Forensics and Security","26 Dec 2022","2023","18","","804","817","Physical unclonable functions (PUFs) have emerged as potent hardware primitives owing to their intrinsic properties of being secret key-free, clone-proof, and lightweight. However, PUFs cannot avoid the threats of machine learning modeling and side-channel attacks (SCAs). Nevertheless, almost all attacks neglect the correlations between the mathematical model and side-channel models introduced by PUF internal parameters; thus, such attacks fail to exploit related data and struggle in modeling complex PUFs. To address this problem, we propose a framework for using auxiliary learning SCAs to model strong PUFs by learning multiple related tasks together. Side-channel information predictions are introduced as auxiliary tasks to facilitate the primary task of predicting response. The parameters hard for the primary task to learn can be shared by the auxiliary tasks that learn the same parameters more straightforwardly. Based on the proposed framework, we design a specific auxiliary learning power SCA that employs power level prediction as the auxiliary task. The proposed attack is implemented with the hard-parameter sharing and hierarchy sharing deep neural networks. Experimental results demonstrate that the proposed attack succeeds in modeling XOR APUF, MPUF, and iPUF and outperforms the state-of-the-art methods in modeling MPUF and iPUF. We evaluate the influences of task relatedness, architecture, and loss weight ratio. Furthermore, we propose a fine-grained classification-based method to generate the auxiliary task with an enhanced relationship to the primary task. According to the response, the class corresponding to a specific side-channel state is further divided into two subclasses. Experimental results demonstrate that the generated auxiliary task promotes performance and alleviates the adverse effects of improper architecture and parameters.","1556-6021","","10.1109/TIFS.2022.3227445","National Natural Science Foundation(grant numbers:61871405,61802431); Project of Shanghai Science and Technology Innovation Action Program(grant numbers:22511101300); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9973338","Auxiliary learning;deep neural network;multi-task;physical unclonable function;side-channel attack","Task analysis;Mathematical models;Side-channel attacks;Computer architecture;Predictive models;Resists;Neural networks","","1","","48","IEEE","7 Dec 2022","","","IEEE","IEEE Journals"
"AISCM-FH: AI-Enabled Secure Communication Mechanism in Fog Computing-Based Healthcare","M. Wazid; A. K. Das; S. Shetty; J. J. P. C. Rodrigues; M. Guizani","Department of Computer Science and Engineering, Graphic Era Deemed to be University, Dehradun, India; Center for Security, Theory and Algorithmic Research, International Institute of Information Technology, Hyderabad, India; Department of Modeling, Simulation and Visualization Engineering, Virginia Modeling, Analysis and Simulation Center and the Center for Cybersecurity Education and Research, Old Dominion University, Suffolk, VA, USA; College of Computer Science and Technology, China University of Petroleum (East China), Qingdao, China; Machine Learning Department, Mohamed bin Zayed University of Artificial Intelligence (MBZUAI), Abu Dhabi, United Arab Emirates","IEEE Transactions on Information Forensics and Security","7 Dec 2022","2023","18","","319","334","Fog computing-based Internet of Things (IoT) architecture is useful for various types of delay efficient network communications and services, like digital healthcare. However, there are privacy and security issues with the fog computing-based healthcare systems, which can further increase the risk of leakage of sensitive healthcare data. Therefore, a security mechanism, such as access control for fog computing-based healthcare systems, is needed to protect its data against various potential attacks. Moreover, the blockchain technology can be used to solve the digital healthcare’s data integrity related problems. The use of Artificial Intelligence (AI) further makes the system more effective in case of prediction of health related diseases. In this paper, an AI-enabled secure communication mechanism in fog computing-based healthcare system (in short, AISCM-FH) has been proposed. The security analysis of the proposed AISCM-FH is provided using the standard random oracle model and also with the heuristic (non-mathematical) security analysis. A pragmatic study determines the impact of the proposed AISCM-FH on key performance indicators. Moreover, we include a detailed performance comparison of AISCM-FH with other relevant existing schemes to show that it has low communication and computation costs, and provides superior security and extra functionality attributes as compared to those for other competing existing approaches.","1556-6021","","10.1109/TIFS.2022.3220959","DoD Center of Excellence in AI and Machine Learning (CoE-AIML) through the U.S. Army Research Laboratory(grant numbers:W911NF-20-2-0277); FCT/MCTES through National Funds and co-funded EU Funds(grant numbers:UIDB/50008/2020); Brazilian National Council for Research and Development (CNPq)(grant numbers:313036/2020-9); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9943289","Smart healthcare;Internet of Things (IoT);fog computing;security;access control and key management;simulation","Medical services;Internet of Things;Security;Servers;Peer-to-peer computing;Logic gates;Computational modeling","","15","","34","IEEE","9 Nov 2022","","","IEEE","IEEE Journals"
"Reconstructing Training Data with Informed Adversaries","B. Balle; G. Cherubin; J. Hayes",DeepMind; Microsoft Research; DeepMind,"2022 IEEE Symposium on Security and Privacy (SP)","27 Jul 2022","2022","","","1138","1156","Given access to a machine learning model, can an adversary reconstruct the model’s training data? This work studies this question from the lens of a powerful informed adversary who knows all the training data points except one. By instantiating concrete attacks, we show it is feasible to reconstruct the remaining data point in this stringent threat model. For convex models (e.g. logistic regression), reconstruction attacks are simple and can be derived in closed-form. For more general models (e.g. neural networks), we propose an attack strategy based on training a reconstructor network that receives as input the weights of the model under attack and produces as output the target data point. We demonstrate the effectiveness of our attack on image classifiers trained on MNIST and CIFAR-10, and systematically investigate which factors of standard machine learning pipelines affect reconstruction success. Finally, we theoretically investigate what amount of differential privacy suffices to mitigate reconstruction attacks by informed adversaries. Our work provides an effective reconstruction attack that model developers can use to assess memorization of individual points in general settings beyond those considered in previous works (e.g. generative language models or access to training gradients); it shows that standard models have the capacity to store enough information to enable high-fidelity reconstruction of training data points; and it demonstrates that differential privacy can successfully mitigate such attacks in a parameter regime where utility degradation is minimal.","2375-1207","978-1-6654-1316-9","10.1109/SP46214.2022.9833677","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9833677","machine learning;neural networks;reconstruction attacks;differential privacy","Training;Privacy;Differential privacy;Computational modeling;Training data;Machine learning;Data models","","14","","70","IEEE","27 Jul 2022","","","IEEE","IEEE Conferences"
"CNN-Based Adversarial Embedding for Image Steganography","W. Tang; B. Li; S. Tan; M. Barni; J. Huang","School of Electronics and Information Technology, Sun Yat-sen University, Guangdong, China; National Engineering Laboratory for Big Data System Computing Technology, Shenzhen University, Shenzhen, China; National Engineering Laboratory for Big Data System Computing Technology, Shenzhen University, Shenzhen, China; Department of Information Engineering and Mathematics, University of Siena, Siena, Italy; National Engineering Laboratory for Big Data System Computing Technology, Shenzhen University, Shenzhen, China","IEEE Transactions on Information Forensics and Security","8 May 2019","2019","14","8","2074","2087","Steganographic schemes are commonly designed in a way to preserve image statistics or steganalytic features. Since most of the state-of-the-art steganalytic methods employ a machine learning (ML)-based classifier, it is reasonable to consider countering steganalysis by trying to fool the ML classifiers. However, simply applying perturbations on stego images as adversarial examples may lead to the failure of data extraction and introduce unexpected artifacts detectable by other classifiers. In this paper, we present a steganographic scheme with a novel operation called adversarial embedding (ADV-EMB), which achieves the goal of hiding a stego message while at the same time fooling a convolutional neural network (CNN)-based steganalyzer. The proposed method works under the conventional framework of distortion minimization. In particular, ADV-EMB adjusts the costs of image elements modifications according to the gradients back propagated from the target CNN steganalyzer. Therefore, modification direction has a higher probability to be the same as the inverse sign of the gradient. In this way, the so-called adversarial stego images are generated. Experiments demonstrate that the proposed steganographic scheme achieves better security performance against the target adversary-unaware steganalyzer by increasing its missed detection rate. In addition, it deteriorates the performance of other adversary-aware steganalyzers, opening the way to a new class of modern steganographic schemes capable of overcoming powerful CNN-based steganalysis.","1556-6021","","10.1109/TIFS.2019.2891237","National Natural Science Foundation of China(grant numbers:U1636202,61572329,61872244,61772349); Shenzhen Research Development Program(grant numbers:JCYJ20160328144421330); Alibaba Group through the Alibaba Innovative Research (AIR) Program; ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8603808","Steganography;steganalysis;adversarial machine learning","Distortion;Perturbation methods;Deep learning;Feature extraction;Minimization;Security;Image coding","","173","","51","OAPA","6 Jan 2019","","","IEEE","IEEE Journals"
"Functionality-Preserving Black-Box Optimization of Adversarial Windows Malware","L. Demetrio; B. Biggio; G. Lagorio; F. Roli; A. Armando","Department of Electrical and Electronic Engineering, PRA Lab, University of Cagliari, Cagliari, Italy; Department of Electrical and Electronic Engineering, PRA Lab, University of Cagliari, Cagliari, Italy; Computer Security Laboratory (CSecLab), University of Genoa, Genoa, Italy; Department of Electrical and Electronic Engineering, PRA Lab, University of Cagliari, Cagliari, Italy; Computer Security Laboratory (CSecLab), University of Genoa, Genoa, Italy","IEEE Transactions on Information Forensics and Security","3 Jun 2021","2021","16","","3469","3478","Windows malware detectors based on machine learning are vulnerable to adversarial examples, even if the attacker is only given black-box query access to the model. The main drawback of these attacks is that: ( i) they are query-inefficient, as they rely on iteratively applying random transformations to the input malware; and ( ii) they may also require executing the adversarial malware in a sandbox at each iteration of the optimization process, to ensure that its intrusive functionality is preserved. In this paper, we overcome these issues by presenting a novel family of black-box attacks that are both query-efficient and functionality-preserving, as they rely on the injection of benign content (which will never be executed) either at the end of the malicious file, or within some newly-created sections. Our attacks are formalized as a constrained minimization problem which also enables optimizing the trade-off between the probability of evading detection and the size of the injected payload. We empirically investigate this trade-off on two popular static Windows malware detectors, and show that our black-box attacks can bypass them with only few queries and small payloads, even when they only return the predicted labels. We also evaluate whether our attacks transfer to other commercial antivirus solutions, and surprisingly find that they can evade, on average, more than 12 commercial antivirus engines. We conclude by discussing the limitations of our approach, and its possible future extensions to target malware classifiers based on dynamic analysis.","1556-6021","","10.1109/TIFS.2021.3082330","Progetti di Rilevante Interesse Nazionale (PRIN) 2017 Project RexLearn through the Italian Ministry of Education, University and Research(grant numbers:2017TWNMH2); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9437194","Adversarial examples;malware detection;evasion attacks;black-box optimization;machine learning","Malware;Detectors;Optimization;Operating systems;Feature extraction;Payloads;Minimization","","73","","33","IEEE","20 May 2021","","","IEEE","IEEE Journals"
"Fine-Grained Webpage Fingerprinting Using Only Packet Length Information of Encrypted Traffic","M. Shen; Y. Liu; L. Zhu; X. Du; J. Hu","School of Cyberspace Security, Beijing Institute of Technology, Beijing, China; Beijing Institute of Technology, School of Computer Science, Beijing, China; School of Cyberspace Security, Beijing Institute of Technology, Beijing, China; Department of Computer and Information Sciences, Temple University, Philadelphia, PA, USA; School of Engineering and IT, University of New South Wales, Canberra, ACT, Australia","IEEE Transactions on Information Forensics and Security","4 Feb 2021","2021","16","","2046","2059","Encrypted web traffic can reveal sensitive information of users, such as their browsing behaviors. Existing studies on encrypted traffic analysis focus on website fingerprinting. We claim that fine-grained webpage fingerprinting, which speculates specific webpages on a same website visited by a victim, allows exploiting more user private information, e.g., shopping interests in an online shopping mall. Since webpages from the same website usually have very similar traffic traces that make them indistinguishable, existing solutions may end up with low accuracy. In this paper, we propose FineWP, a novel fine-grained webpage fingerprinting method. We make an observation that the length information of packets in bidirectional client-server interactions can be distinctive features for webpage fingerprinting. The extracted features are then fed into traditional machine learning models to train classifiers, which achieve both high accuracy and low training overhead. We collect two real-world traffic datasets and construct closed- and open-world evaluations to verify the effectiveness of FineWP. The experimental results demonstrate that FineWP is superior to the state-of-the-art methods in terms of accuracy, time complexity and stability.","1556-6021","","10.1109/TIFS.2020.3046876","National Key Research and Development Program of China(grant numbers:2020YFB1006101); Beijing Nova Program(grant numbers:Z201100006820006); NSFC Projects(grant numbers:61972039,61872041); Beijing Natural Science Foundation(grant numbers:4192050); Zhejiang Lab Open Fund(grant numbers:2020AA3AB04); ARC Funds(grant numbers:DP190103660,DP200103207,LP180100663); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9305740","Webpage fingerprinting;encrypted traffic classification;machine learning;convolutional neural networks","Feature extraction;Uplink;Servers;Loading;Training;Fingerprint recognition;Protocols","","52","","36","IEEE","23 Dec 2020","","","IEEE","IEEE Journals"
"De-Pois: An Attack-Agnostic Defense against Data Poisoning Attacks","J. Chen; X. Zhang; R. Zhang; C. Wang; L. Liu","Internet Technology and Engineering Research and Development Center (ITEC), School of Electronic Information and Communications, Huazhong University of Science and Technology, Wuhan, China; Internet Technology and Engineering Research and Development Center (ITEC), School of Electronic Information and Communications, Huazhong University of Science and Technology, Wuhan, China; Hubei Key Laboratory of Transportation Internet of Things, School of Computer Science and Technology, Wuhan University of Technology, Wuhan, China; Internet Technology and Engineering Research and Development Center (ITEC), School of Electronic Information and Communications, Huazhong University of Science and Technology, Wuhan, China; College of Computing, Georgia Institute of Technology, Atlanta, GA, USA","IEEE Transactions on Information Forensics and Security","3 Jun 2021","2021","16","","3412","3425","Machine learning techniques have been widely applied to various applications. However, they are potentially vulnerable to data poisoning attacks, where sophisticated attackers can disrupt the learning procedure by injecting a fraction of malicious samples into the training dataset. Existing defense techniques against poisoning attacks are largely attack-specific: they are designed for one specific type of attacks but do not work for other types, mainly due to the distinct principles they follow. Yet few general defense strategies have been developed. In this paper, we propose De-Pois, an attack-agnostic defense against poisoning attacks. The key idea of De-Pois is to train a mimic model the purpose of which is to imitate the behavior of the target model trained by clean samples. We take advantage of Generative Adversarial Networks (GANs) to facilitate informative training data augmentation as well as the mimic model construction. By comparing the prediction differences between the mimic model and the target model, De-Pois is thus able to distinguish the poisoned samples from clean ones, without explicit knowledge of any ML algorithms or types of poisoning attacks. We implement four types of poisoning attacks and evaluate De-Pois with five typical defense methods on different realistic datasets. The results demonstrate that De-Pois is effective and efficient for detecting poisoned data against all the four types of poisoning attacks, with both the accuracy and F1-score over 0.9 on average.","1556-6021","","10.1109/TIFS.2021.3080522","National Natural Science Foundation of China(grant numbers:61872416,52031009,62002104,62071192); Fundamental Research Funds for the Central Universities of China(grant numbers:2019kfyXJJS017); special fund for Wuhan Yellow Crane Talents (Excellent Young Scholar); fund of Hubei Key Laboratory of Transportation Internet of Things(grant numbers:2019IOT004); National Science Foundation(grant numbers:NSF 2038029,NSF 1564097); IBM faculty award; ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9431105","Machine learning;data poisoning attack;attack-agnostic defense;generative adversarial network","Data models;Training;Testing;Predictive models;Computational modeling;Training data;Task analysis","","44","","43","IEEE","14 May 2021","","","IEEE","IEEE Journals"
"Large-Scale Empirical Study of Important Features Indicative of Discovered Vulnerabilities to Assess Application Security","M. Zhang; X. de Carné de Carnavalet; L. Wang; A. Ragab","Concordia Institute for Information Systems Engineering, Concordia University, Montreal, QC, Canada; Concordia Institute for Information Systems Engineering, Concordia University, Montreal, QC, Canada; Concordia Institute for Information Systems Engineering, Concordia University, Montreal, QC, Canada; Department of Industrial Electronics and Control Engineering, Menoufia University, Menouf, Egypt","IEEE Transactions on Information Forensics and Security","24 May 2019","2019","14","9","2315","2330","Existing research on vulnerability discovery models shows that the existence of vulnerabilities inside an application may be linked to certain features, e.g., size or complexity, of that application. However, the applicability of such features to demonstrate the relative security between two applications is not well studied, which may depend on multiple factors in a complex way. In this paper, we perform the first large-scale empirical study of the correlation between various features of applications and the abundance of vulnerabilities. Unlike existing work, which typically focuses on one particular application, resulting in limited successes, we focus on the more realistic issue of assessing the relative security level among different applications. To the best of our knowledge, this is the most comprehensive study of 780 real-world applications involving 6498 vulnerabilities. We apply seven feature selection methods to nine feature subsets selected among 34 collected features, which are then fed into six types of machine learning models, producing 523 estimations. The predictive power of important features is evaluated using four different performance measures. This paper reflects that the complexity of applications is not the only factor in vulnerability discovery and the human-related factors contribute to explaining the number of discovered vulnerabilities in an application.","1556-6021","","10.1109/TIFS.2019.2895963","Natural Sciences and Engineering Research Council of Canada(grant numbers:N01035); Vanier Canada Graduate Scholarship; ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8629314","Software vulnerability analysis;vulnerability discovery model;software security;machine learning","Feature extraction;Correlation;Measurement;Complexity theory;Software;Predictive models;Security","","23","","49","IEEE","29 Jan 2019","","","IEEE","IEEE Journals"
"Guided Malware Sample Analysis Based on Graph Neural Networks","Y. -H. Chen; S. -C. Lin; S. -C. Huang; C. -L. Lei; C. -Y. Huang","Department of Electrical Engineering, National Taiwan University, Taipei, Taiwan; Department of Electrical Engineering, National Taiwan University, Taipei, Taiwan; Department of Computer Science, National Yang Ming Chiao Tung University, Hsinchu, Taiwan; Department of Electrical Engineering, National Taiwan University, Taipei, Taiwan; Department of Computer Science, National Yang Ming Chiao Tung University, Hsinchu, Taiwan","IEEE Transactions on Information Forensics and Security","20 Jul 2023","2023","18","","4128","4143","Malicious binaries have caused data and monetary loss to people, and these binaries keep evolving rapidly nowadays. With tons of new unknown attack binaries, one essential daily task for security analysts and researchers is to analyze and effectively identify malicious parts and report the critical behaviors within the binaries. While manual analysis is slow and ineffective, automated malware report generation is a long-term goal for malware analysts and researchers. This study moves one step toward the goal by identifying essential functions in malicious binaries to accelerate and even automate the analyzing process. We design and implement an expert system based on our proposed graph neural network called MalwareExpert. The system pinpoints the essential functions of an analyzed sample and visualizes the relationships between involved parts. We evaluate our proposed approach using executable binaries in the Windows operating system. The evaluation results show that our approach has a competitive detection performance (97.3% accuracy and 96.5% recall rate) compared to existing malware detection models. Moreover, it gives an intuitive and easy-to-understand explanation of the model predictions by visualizing and correlating essential functions. We compare the identified essential functions reported by our system against several expert-made malware analysis reports from multiple sources. Our qualitative and quantitative analyses show that the pinpointed functions indicate accurate directions. In the best case, the top 2% of functions reported from the system can cover all expert-annotated functions in three steps. We believe that the MalwareExpert system has shed light on automated program behavior analysis.","1556-6021","","10.1109/TIFS.2023.3283913","National Science and Technology Council (NSTC) of Taiwan(grant numbers:111-2628-E-A49-006-MY2,112-2634-F-A49-001-MBK,112-2218-E-A49-023); Taiwan Academic Cybersecurity Center (TACC) Project at the National Yang Ming Chiao Tung University; ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10145856","Graph neural network;machine learning for security;malware analysis;reverse engineering","Malware;Feature extraction;Analytical models;Behavioral sciences;Security;Machine learning;Training","","2","","73","IEEE","7 Jun 2023","","","IEEE","IEEE Journals"
